iter	MultiClass
423	0.7369599343
424	0.7367661088
425	0.7365712956
426	0.7364034143
427	0.7362603425
428	0.7360380138
429	0.7358010928
430	0.7355726443
431	0.7354064188
432	0.7351506678
433	0.7350033261
434	0.7348266478
435	0.7347208641
436	0.734393122
437	0.7341533584
438	0.7339307811
439	0.7336957445
440	0.7335267115
441	0.7333713078
442	0.733093731
443	0.7328288382
444	0.7326569558
445	0.732538536
446	0.7324634338
447	0.7322519083
448	0.732062041
449	0.7319103367
450	0.731641291
451	0.7315229091
452	0.7313370981
453	0.7311711629
454	0.7308574696
455	0.7307350075
456	0.7305004333
457	0.7301389914
458	0.7299103018
459	0.729636514
460	0.7293249927
461	0.729132716
462	0.7289603517
463	0.7287194786
464	0.7284838548
465	0.7283438578
466	0.7280838479
467	0.7278417928
468	0.7276929025
469	0.7275327918
470	0.7272916536
471	0.7271046705
472	0.7269211942
473	0.7266539923
474	0.7264506939
475	0.7263203258
476	0.7260583555
477	0.7258474743
478	0.7256490272
479	0.7254773631
480	0.7253191551
481	0.7251959729
482	0.7249764389
483	0.72473555
484	0.7245015059
485	0.7242090985
486	0.7239910311
487	0.723820791
488	0.7235965102
489	0.7235119164
490	0.723236308
491	0.7231083384
492	0.7229591076
493	0.7228291141
494	0.7226407226
495	0.7224724497
496	0.7221641209
497	0.7219262586
498	0.7217288725
499	0.721465348
500	0.7212811946
501	0.7211176664
502	0.7209461437
503	0.7208118273
504	0.7206061121
505	0.7205197357
506	0.7203677522
507	0.7202059353
508	0.7199815816
509	0.7197338444
510	0.719410929
511	0.719256116
512	0.7190292873
513	0.7189445417
514	0.7186215673
515	0.7183537508
516	0.7179947441
517	0.7177237533
518	0.7175264865
519	0.7173545954
520	0.7172055096
521	0.7169163832
522	0.7165768438
523	0.716353674
524	0.7161069992
525	0.7157818872
526	0.7154323502
527	0.7152105539
528	0.7150083328
529	0.71477216
530	0.7144792573
531	0.71428619
532	0.7140327092
533	0.7139160903
534	0.7137305036
535	0.7134967853
536	0.7131791329
537	0.7130764808
538	0.7128115056
539	0.712605495
540	0.7124350615
541	0.7123192707
542	0.7120880581
543	0.711984583
544	0.711691975
545	0.7115414671
546	0.7113336053
547	0.7111202896
548	0.7108957521
549	0.7107839766
550	0.7106170001
551	0.7104907482
552	0.7102306606
553	0.7099965902
554	0.70984811
555	0.7096642184
556	0.7093989661
557	0.7092282026
558	0.7090777426
559	0.7089682838
560	0.708677594
561	0.7085935273
562	0.7082942224
563	0.7079204635
564	0.7077742326
565	0.7075566991
566	0.7073740846
567	0.7071695077
568	0.7069329293
569	0.7066862099
570	0.706509351
571	0.7063124197
572	0.7061671857
573	0.7060167413
574	0.7058785289
575	0.705691973
576	0.7055199082
577	0.7054317142
578	0.7053702045
579	0.7052750932
580	0.7050675806
581	0.7048585978
582	0.7047068622
583	0.7044440489
584	0.7043064062
585	0.7041352815
586	0.7040415302
587	0.7038348885
588	0.7035936228
589	0.7034181139
590	0.7032595636
591	0.7030871961
592	0.7029819529
593	0.7027655919
594	0.7024529468
595	0.7023042235
596	0.7022367341
597	0.7020954551
598	0.7018765449
599	0.7015385797
600	0.7013484999
601	0.7010827481
602	0.7009925203
603	0.7007873619
604	0.7006132086
605	0.7003942856
606	0.7002395591
607	0.7000010451
608	0.6997642404
609	0.6994954944
610	0.6993078984
611	0.6991379829
612	0.6988978918
613	0.6986741705
614	0.6984452877
615	0.6981456328
616	0.697924339
617	0.697669786
618	0.697515251
619	0.6973915498
620	0.6971558259
621	0.6968899993
622	0.6967059874
623	0.6965653696
624	0.6962867356
625	0.6961136145
626	0.6959081378
627	0.695709587
628	0.6955983792
629	0.695296341
630	0.6951469183
631	0.6949228636
632	0.6947290619
633	0.6946705253
634	0.6943852078
635	0.6942460553
636	0.6941310856
637	0.6938808787
638	0.6937270552
639	0.6936305107
640	0.6933153023
641	0.6930858728
642	0.6929557278
643	0.6927243498
644	0.6924931939
645	0.6922485701
646	0.6921324154
647	0.6918861829
648	0.6917143068
649	0.6915287392
650	0.691227231
651	0.6910189206
652	0.6908818277
653	0.6907714287
